"","true","estimated","tissue_spiked","spike_color"
"sample_407",0.1,0.15846646132716,"adipocyte",TRUE
"sample_408",0.1,0.0864023409963032,"adipocyte",TRUE
"sample_409",0.1,0.0976231070125365,"adipocyte",TRUE
"sample_410",0.1,0.0012793383135617,"adipocyte",TRUE
"sample_411",0.1,0.110311591372207,"adipocyte",TRUE
"sample_412",0.1,0.0173340976323447,"adipocyte",TRUE
"sample_413",0.1,0.0853555098046696,"adipocyte",TRUE
"sample_414",0.1,0.0942093623212816,"adipocyte",TRUE
"sample_415",0.1,0,"adipocyte",TRUE
"sample_416",0.1,0.124246918031013,"adipocyte",TRUE
"sample_417",0.1,0.142184222332948,"adipocyte",TRUE
"sample_418",0.1,0.108754368008897,"adipocyte",TRUE
"sample_419",0.1,0.160019939039126,"adipocyte",TRUE
"sample_420",0.1,0.277904223524585,"adipocyte",TRUE
"sample_421",0.1,0,"adipocyte",TRUE
"sample_422",0.1,0,"adipocyte",TRUE
"sample_423",0.1,0.355607664996751,"adipocyte",TRUE
"sample_424",0.1,0.113789180843442,"adipocyte",TRUE
"sample_425",0.1,0.0910150046991956,"adipocyte",TRUE
"sample_426",0.1,0.0951823813734441,"adipocyte",TRUE
"sample_427",0.1,0.0478923129573641,"adipocyte",TRUE
"sample_428",0.1,0.0966400229759531,"adipocyte",TRUE
"sample_429",0.1,0,"adipocyte",TRUE
"sample_430",0.1,0,"adipocyte",TRUE
"sample_431",0.1,0.134421090494279,"adipocyte",TRUE
"sample_432",0.1,0.166033835121638,"adipocyte",TRUE
"sample_433",0.1,0.132357990249268,"adipocyte",TRUE
"sample_434",0.1,0.100730473728888,"adipocyte",TRUE
"sample_435",0.1,0,"adipocyte",TRUE
"sample_436",0.1,0.0577941232867405,"adipocyte",TRUE
"sample_437",0.1,0,"adipocyte",TRUE
"sample_438",0.1,0.22558774098854,"adipocyte",TRUE
"sample_439",0.1,0.109434245410251,"adipocyte",TRUE
